"NOM_ENT,C,110","NOM_MUN,C,110",IS_IN_ZMVM
Aguascalientes,Aguascalientes,0
Aguascalientes,Asientos,0
Aguascalientes,Calvillo,0
Aguascalientes,Cosío,0
Aguascalientes,Jesús María,0
Aguascalientes,Pabellón de Arteaga,0
Aguascalientes,Rincón de Romos,0
Aguascalientes,San José de Gracia,0
Aguascalientes,Tepezalá,0
Aguascalientes,El Llano,0
Aguascalientes,San Francisco de los Romo,0
Baja California,Ensenada,0
Baja California,Mexicali,0
Baja California,Tecate,0
Baja California,Tijuana,0
Baja California,Playas de Rosarito,0
Baja California Sur,Comondú,0
Baja California Sur,Mulegé,0
Baja California Sur,La Paz,0
Baja California Sur,Los Cabos,0
Baja California Sur,Loreto,0
Campeche,Calkiní,0
Campeche,Campeche,0
Campeche,Carmen,0
Campeche,Champotón,0
Campeche,Hecelchakán,0
Campeche,Hopelchén,0
Campeche,Palizada,0
Campeche,Tenabo,0
Campeche,Escárcega,0
Campeche,Calakmul,0
Campeche,Candelaria,0
Coahuila de Zaragoza,Abasolo,0
Coahuila de Zaragoza,Acu–a,0
Coahuila de Zaragoza,Allende,0
Coahuila de Zaragoza,Arteaga,0
Coahuila de Zaragoza,Candela,0
Coahuila de Zaragoza,Casta–os,0
Coahuila de Zaragoza,Cuatro Ciénegas,0
Coahuila de Zaragoza,Escobedo,0
Coahuila de Zaragoza,Francisco I. Madero,0
Coahuila de Zaragoza,Frontera,0
Coahuila de Zaragoza,General Cepeda,0
Coahuila de Zaragoza,Guerrero,0
Coahuila de Zaragoza,Hidalgo,0
Coahuila de Zaragoza,Jiménez,0
Coahuila de Zaragoza,Juárez,0
Coahuila de Zaragoza,Lamadrid,0
Coahuila de Zaragoza,Matamoros,0
Coahuila de Zaragoza,Monclova,0
Coahuila de Zaragoza,Morelos,0
Coahuila de Zaragoza,Múzquiz,0
Coahuila de Zaragoza,Nadadores,0
Coahuila de Zaragoza,Nava,0
Coahuila de Zaragoza,Ocampo,0
Coahuila de Zaragoza,Parras,0
Coahuila de Zaragoza,Piedras Negras,0
Coahuila de Zaragoza,Progreso,0
Coahuila de Zaragoza,Ramos Arizpe,0
Coahuila de Zaragoza,Sabinas,0
Coahuila de Zaragoza,Sacramento,0
Coahuila de Zaragoza,Saltillo,0
Coahuila de Zaragoza,San Buenaventura,0
Coahuila de Zaragoza,San Juan de Sabinas,0
Coahuila de Zaragoza,San Pedro,0
Coahuila de Zaragoza,Sierra Mojada,0
Coahuila de Zaragoza,Torreón,0
Coahuila de Zaragoza,Viesca,0
Coahuila de Zaragoza,Villa Unión,0
Coahuila de Zaragoza,Zaragoza,0
Colima,Armería,0
Colima,Colima,0
Colima,Comala,0
Colima,Coquimatlán,0
Colima,Cuauhtémoc,0
Colima,Ixtlahuacán,0
Colima,Manzanillo,0
Colima,Minatitlán,0
Colima,Tecomán,0
Colima,Villa de Álvarez,0
Chiapas,Acacoyagua,0
Chiapas,Acala,0
Chiapas,Acapetahua,0
Chiapas,Altamirano,0
Chiapas,Amatán,0
Chiapas,Amatenango de la Frontera,0
Chiapas,Amatenango del Valle,0
Chiapas,Angel Albino Corzo,0
Chiapas,Arriaga,0
Chiapas,Bejucal de Ocampo,0
Chiapas,Bella Vista,0
Chiapas,Berriozábal,0
Chiapas,Bochil,0
Chiapas,El Bosque,0
Chiapas,Cacahoatán,0
Chiapas,Catazajá,0
Chiapas,Cintalapa,0
Chiapas,Coapilla,0
Chiapas,Comitán de Domínguez,0
Chiapas,La Concordia,0
Chiapas,Copainalá,0
Chiapas,Chalchihuitán,0
Chiapas,Chamula,0
Chiapas,Chanal,0
Chiapas,Chapultenango,0
Chiapas,Chenalhó,0
Chiapas,Chiapa de Corzo,0
Chiapas,Chiapilla,0
Chiapas,Chicoasén,0
Chiapas,Chicomuselo,0
Chiapas,Chilón,0
Chiapas,Escuintla,0
Chiapas,Francisco León,0
Chiapas,Frontera Comalapa,0
Chiapas,Frontera Hidalgo,0
Chiapas,La Grandeza,0
Chiapas,Huehuetán,0
Chiapas,Huixtán,0
Chiapas,Huitiupán,0
Chiapas,Huixtla,0
Chiapas,La Independencia,0
Chiapas,Ixhuatán,0
Chiapas,Ixtacomitán,0
Chiapas,Ixtapa,0
Chiapas,Ixtapangajoya,0
Chiapas,Jiquipilas,0
Chiapas,Jitotol,0
Chiapas,Juárez,0
Chiapas,Larráinzar,0
Chiapas,La Libertad,0
Chiapas,Mapastepec,0
Chiapas,Las Margaritas,0
Chiapas,Mazapa de Madero,0
Chiapas,Mazatán,0
Chiapas,Metapa,0
Chiapas,Mitontic,0
Chiapas,Motozintla,0
Chiapas,Nicolás Ruíz,0
Chiapas,Ocosingo,0
Chiapas,Ocotepec,0
Chiapas,Ocozocoautla de Espinosa,0
Chiapas,Ostuacán,0
Chiapas,Osumacinta,0
Chiapas,Oxchuc,0
Chiapas,Palenque,0
Chiapas,Pantelhó,0
Chiapas,Pantepec,0
Chiapas,Pichucalco,0
Chiapas,Pijijiapan,0
Chiapas,El Porvenir,0
Chiapas,Villa Comaltitlán,0
Chiapas,Pueblo Nuevo Solistahuacán,0
Chiapas,Rayón,0
Chiapas,Reforma,0
Chiapas,Las Rosas,0
Chiapas,Sabanilla,0
Chiapas,Salto de Agua,0
Chiapas,San Cristóbal de las Casas,0
Chiapas,San Fernando,0
Chiapas,Siltepec,0
Chiapas,Simojovel,0
Chiapas,Sitalá,0
Chiapas,Socoltenango,0
Chiapas,Solosuchiapa,0
Chiapas,Soyaló,0
Chiapas,Suchiapa,0
Chiapas,Suchiate,0
Chiapas,Sunuapa,0
Chiapas,Tapachula,0
Chiapas,Tapalapa,0
Chiapas,Tapilula,0
Chiapas,Tecpatán,0
Chiapas,Tenejapa,0
Chiapas,Teopisca,0
Chiapas,Tila,0
Chiapas,Tonalá,0
Chiapas,Totolapa,0
Chiapas,La Trinitaria,0
Chiapas,Tumbalá,0
Chiapas,Tuxtla Gutiérrez,0
Chiapas,Tuxtla Chico,0
Chiapas,Tuzantán,0
Chiapas,Tzimol,0
Chiapas,Unión Juárez,0
Chiapas,Venustiano Carranza,0
Chiapas,Villa Corzo,0
Chiapas,Villaflores,0
Chiapas,Yajalón,0
Chiapas,San Lucas,0
Chiapas,Zinacantán,0
Chiapas,San Juan Cancuc,0
Chiapas,Aldama,0
Chiapas,Benemérito de las Américas,0
Chiapas,Maravilla Tenejapa,0
Chiapas,Marqués de Comillas,0
Chiapas,Montecristo de Guerrero,0
Chiapas,San Andrés Duraznal,0
Chiapas,Santiago el Pinar,0
Chihuahua,Ahumada,0
Chihuahua,Aldama,0
Chihuahua,Allende,0
Chihuahua,Aquiles Serdán,0
Chihuahua,Ascensión,0
Chihuahua,Bachíniva,0
Chihuahua,Balleza,0
Chihuahua,Batopilas,0
Chihuahua,Bocoyna,0
Chihuahua,Buenaventura,0
Chihuahua,Camargo,0
Chihuahua,Carichí,0
Chihuahua,Casas Grandes,0
Chihuahua,Coronado,0
Chihuahua,Coyame del Sotol,0
Chihuahua,La Cruz,0
Chihuahua,Cuauhtémoc,0
Chihuahua,Cusihuiriachi,0
Chihuahua,Chihuahua,0
Chihuahua,Chínipas,0
Chihuahua,Delicias,0
Chihuahua,Dr. Belisario Domínguez,0
Chihuahua,Galeana,0
Chihuahua,Santa Isabel,0
Chihuahua,Gómez Farías,0
Chihuahua,Gran Morelos,0
Chihuahua,Guachochi,0
Chihuahua,Guadalupe,0
Chihuahua,Guadalupe y Calvo,0
Chihuahua,Guazapares,0
Chihuahua,Guerrero,0
Chihuahua,Hidalgo del Parral,0
Chihuahua,Huejotitán,0
Chihuahua,Ignacio Zaragoza,0
Chihuahua,Janos,0
Chihuahua,Jiménez,0
Chihuahua,Juárez,0
Chihuahua,Julimes,0
Chihuahua,López,0
Chihuahua,Madera,0
Chihuahua,Maguarichi,0
Chihuahua,Manuel Benavides,0
Chihuahua,Matachí,0
Chihuahua,Matamoros,0
Chihuahua,Meoqui,0
Chihuahua,Morelos,0
Chihuahua,Moris,0
Chihuahua,Namiquipa,0
Chihuahua,Nonoava,0
Chihuahua,Nuevo Casas Grandes,0
Chihuahua,Ocampo,0
Chihuahua,Ojinaga,0
Chihuahua,Praxedis G. Guerrero,0
Chihuahua,Riva Palacio,0
Chihuahua,Rosales,0
Chihuahua,Rosario,0
Chihuahua,San Francisco de Borja,0
Chihuahua,San Francisco de Conchos,0
Chihuahua,San Francisco del Oro,0
Chihuahua,Santa Bárbara,0
Chihuahua,Satevó,0
Chihuahua,Saucillo,0
Chihuahua,Temósachic,0
Chihuahua,El Tule,0
Chihuahua,Urique,0
Chihuahua,Uruachi,0
Chihuahua,Valle de Zaragoza,0
Ciudad de México,Azcapotzalco,1
Ciudad de México,Coyoacán,1
Ciudad de México,Cuajimalpa de Morelos,1
Ciudad de México,Gustavo A. Madero,1
Ciudad de México,Iztacalco,1
Ciudad de México,Iztapalapa,1
Ciudad de México,La Magdalena Contreras,1
Ciudad de México,Milpa Alta,1
Ciudad de México,Álvaro Obregón,1
Ciudad de México,Tláhuac,1
Ciudad de México,Tlalpan,1
Ciudad de México,Xochimilco,1
Ciudad de México,Benito Juárez,1
Ciudad de México,Cuauhtémoc,1
Ciudad de México,Miguel Hidalgo,1
Ciudad de México,Venustiano Carranza,1
Durango,Canatlán,0
Durango,Canelas,0
Durango,Coneto de Comonfort,0
Durango,Cuencamé,0
Durango,Durango,0
Durango,General Simón Bolívar,0
Durango,Gómez Palacio,0
Durango,Guadalupe Victoria,0
Durango,Guanaceví,0
Durango,Hidalgo,0
Durango,Indé,0
Durango,Lerdo,0
Durango,Mapimí,0
Durango,Mezquital,0
Durango,Nazas,0
Durango,Nombre de Dios,0
Durango,Ocampo,0
Durango,El Oro,0
Durango,Otáez,0
Durango,Pánuco de Coronado,0
Durango,Pe–ón Blanco,0
Durango,Poanas,0
Durango,Pueblo Nuevo,0
Durango,Rodeo,0
Durango,San Bernardo,0
Durango,San Dimas,0
Durango,San Juan de Guadalupe,0
Durango,San Juan del Río,0
Durango,San Luis del Cordero,0
Durango,San Pedro del Gallo,0
Durango,Santa Clara,0
Durango,Santiago Papasquiaro,0
Durango,Súchil,0
Durango,Tamazula,0
Durango,Tepehuanes,0
Durango,Tlahualilo,0
Durango,Topia,0
Durango,Vicente Guerrero,0
Durango,Nuevo Ideal,0
Guanajuato,Abasolo,0
Guanajuato,Acámbaro,0
Guanajuato,San Miguel de Allende,0
Guanajuato,Apaseo el Alto,0
Guanajuato,Apaseo el Grande,0
Guanajuato,Atarjea,0
Guanajuato,Celaya,0
Guanajuato,Manuel Doblado,0
Guanajuato,Comonfort,0
Guanajuato,Coroneo,0
Guanajuato,Cortazar,0
Guanajuato,Cuerámaro,0
Guanajuato,Doctor Mora,0
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,0
Guanajuato,Guanajuato,0
Guanajuato,Huanímaro,0
Guanajuato,Irapuato,0
Guanajuato,Jaral del Progreso,0
Guanajuato,Jerécuaro,0
Guanajuato,León,0
Guanajuato,Moroleón,0
Guanajuato,Ocampo,0
Guanajuato,Pénjamo,0
Guanajuato,Pueblo Nuevo,0
Guanajuato,Purísima del Rincón,0
Guanajuato,Romita,0
Guanajuato,Salamanca,0
Guanajuato,Salvatierra,0
Guanajuato,San Diego de la Unión,0
Guanajuato,San Felipe,0
Guanajuato,San Francisco del Rincón,0
Guanajuato,San José Iturbide,0
Guanajuato,San Luis de la Paz,0
Guanajuato,Santa Catarina,0
Guanajuato,Santa Cruz de Juventino Rosas,0
Guanajuato,Santiago Maravatío,0
Guanajuato,Silao de la Victoria,0
Guanajuato,Tarandacuao,0
Guanajuato,Tarimoro,0
Guanajuato,Tierra Blanca,0
Guanajuato,Uriangato,0
Guanajuato,Valle de Santiago,0
Guanajuato,Victoria,0
Guanajuato,Villagrán,0
Guanajuato,Xichú,0
Guanajuato,Yuriria,0
Guerrero,Acapulco de Juárez,0
Guerrero,Ahuacuotzingo,0
Guerrero,Ajuchitlán del Progreso,0
Guerrero,Alcozauca de Guerrero,0
Guerrero,Alpoyeca,0
Guerrero,Apaxtla,0
Guerrero,Arcelia,0
Guerrero,Atenango del Río,0
Guerrero,Atlamajalcingo del Monte,0
Guerrero,Atlixtac,0
Guerrero,Atoyac de Álvarez,0
Guerrero,Ayutla de los Libres,0
Guerrero,Azoyú,0
Guerrero,Benito Juárez,0
Guerrero,Buenavista de Cuéllar,0
Guerrero,Coahuayutla de José María Izazaga,0
Guerrero,Cocula,0
Guerrero,Copala,0
Guerrero,Copalillo,0
Guerrero,Copanatoyac,0
Guerrero,Coyuca de Benítez,0
Guerrero,Coyuca de Catalán,0
Guerrero,Cuajinicuilapa,0
Guerrero,Cualác,0
Guerrero,Cuautepec,0
Guerrero,Cuetzala del Progreso,0
Guerrero,Cutzamala de Pinzón,0
Guerrero,Chilapa de Álvarez,0
Guerrero,Chilpancingo de los Bravo,0
Guerrero,Florencio Villarreal,0
Guerrero,General Canuto A. Neri,0
Guerrero,General Heliodoro Castillo,0
Guerrero,Huamuxtitlán,0
Guerrero,Huitzuco de los Figueroa,0
Guerrero,Iguala de la Independencia,0
Guerrero,Igualapa,0
Guerrero,Ixcateopan de Cuauhtémoc,0
Guerrero,Zihuatanejo de Azueta,0
Guerrero,Juan R. Escudero,0
Guerrero,Leonardo Bravo,0
Guerrero,Malinaltepec,0
Guerrero,Mártir de Cuilapan,0
Guerrero,Metlatónoc,0
Guerrero,Mochitlán,0
Guerrero,Olinalá,0
Guerrero,Ometepec,0
Guerrero,Pedro Ascencio Alquisiras,0
Guerrero,Petatlán,0
Guerrero,Pilcaya,0
Guerrero,Pungarabato,0
Guerrero,Quechultenango,0
Guerrero,San Luis Acatlán,0
Guerrero,San Marcos,0
Guerrero,San Miguel Totolapan,0
Guerrero,Taxco de Alarcón,0
Guerrero,Tecoanapa,0
Guerrero,Técpan de Galeana,0
Guerrero,Teloloapan,0
Guerrero,Tepecoacuilco de Trujano,0
Guerrero,Tetipac,0
Guerrero,Tixtla de Guerrero,0
Guerrero,Tlacoachistlahuaca,0
Guerrero,Tlacoapa,0
Guerrero,Tlalchapa,0
Guerrero,Tlalixtaquilla de Maldonado,0
Guerrero,Tlapa de Comonfort,0
Guerrero,Tlapehuala,0
Guerrero,La Unión de Isidoro Montes de Oca,0
Guerrero,Xalpatláhuac,0
Guerrero,Xochihuehuetlán,0
Guerrero,Xochistlahuaca,0
Guerrero,Zapotitlán Tablas,0
Guerrero,Zirándaro,0
Guerrero,Zitlala,0
Guerrero,Eduardo Neri,0
Guerrero,Acatepec,0
Guerrero,Marquelia,0
Guerrero,Cochoapa el Grande,0
Guerrero,José Joaquín de Herrera,0
Guerrero,Juchitán,0
Guerrero,Iliatenco,0
Hidalgo,Acatlán,0
Hidalgo,Acaxochitlán,0
Hidalgo,Actopan,0
Hidalgo,Agua Blanca de Iturbide,0
Hidalgo,Ajacuba,0
Hidalgo,Alfajayucan,0
Hidalgo,Almoloya,0
Hidalgo,Apan,0
Hidalgo,El Arenal,0
Hidalgo,Atitalaquia,0
Hidalgo,Atlapexco,0
Hidalgo,Atotonilco el Grande,0
Hidalgo,Atotonilco de Tula,0
Hidalgo,Calnali,0
Hidalgo,Cardonal,0
Hidalgo,Cuautepec de Hinojosa,0
Hidalgo,Chapantongo,0
Hidalgo,Chapulhuacán,0
Hidalgo,Chilcuautla,0
Hidalgo,Eloxochitlán,0
Hidalgo,Emiliano Zapata,0
Hidalgo,Epazoyucan,0
Hidalgo,Francisco I. Madero,0
Hidalgo,Huasca de Ocampo,0
Hidalgo,Huautla,0
Hidalgo,Huazalingo,0
Hidalgo,Huehuetla,0
Hidalgo,Huejutla de Reyes,0
Hidalgo,Huichapan,0
Hidalgo,Ixmiquilpan,0
Hidalgo,Jacala de Ledezma,0
Hidalgo,Jaltocán,0
Hidalgo,Juárez Hidalgo,0
Hidalgo,Lolotla,0
Hidalgo,Metepec,0
Hidalgo,San Agustín Metzquititlán,0
Hidalgo,Metztitlán,0
Hidalgo,Mineral del Chico,0
Hidalgo,Mineral del Monte,0
Hidalgo,La Misión,0
Hidalgo,Mixquiahuala de Juárez,0
Hidalgo,Molango de Escamilla,0
Hidalgo,Nicolás Flores,0
Hidalgo,Nopala de Villagrán,0
Hidalgo,Omitlán de Juárez,0
Hidalgo,San Felipe Orizatlán,0
Hidalgo,Pacula,0
Hidalgo,Pachuca de Soto,0
Hidalgo,Pisaflores,0
